Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0368-3533,03,סדנה במדידת מרחקים בין משטחים תלת מימדיים והטבעתם במרחב דו מימדי אוקלידי,,2017,ב',מעבדה,מדעים מדויקים,מדעי המחשב,,,ה,12:00-15:00
0368-4111,01,אלגוריתמים להדפסת תלת מימדית ותהליכי יצור נוספים,פרופ' הלפרין דן,2017,ב',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,007,ב,16:00-18:00
0368-4111,02,אלגוריתמים להדפסת תלת מימדית ותהליכי יצור נוספים,פרופ' הלפרין דן,2017,ב',תרגיל,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,007,ב,18:00-19:00
0368-4130,01,שיטות מתקדמות בעיבוד שפות טבעיות,פרופ' ברנט יהונתן,2017,ב',שיעור,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,203,ג,13:00-16:00
0368-4131,01,תורת הקריפטוגרפיה (2) - נושאים מתקדמים,פרופ' אפלבאום בנימין,2017,ב',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ה,10:00-13:00
0368-4132,01,"פונקציות בוליאניות, קושי של קירוב",פרופ' ספרא שמואל,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,קפלון,324,ה,16:00-19:00
0368-4133,01,סמינר בפשטות וסיבוכיות בתכנון מנגנונים,פרופ' פיאט עמוס,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,204,ד,12:00-14:00
0368-4139,01,שיטות אלגוריתמיות,פרופ' עזר יוסף,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,006,ג,16:00-19:00
0368-4155,01,האם Bpp שווה ל-P,פרופ' תא שמע אמנון,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,פיזיקה-שנקר,105,א,14:00-17:00
0368-4162,01,תורת הקריפטוגרפיה,פרופ' אפלבאום בנימין,2017,א',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,007,ה,10:00-13:00
0368-4177,01,לוגיקות אלטרנטיביות,פרופ' אברון ארנון,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,אורנשטיין,102,ג,09:00-12:00
0368-4178,01,אימות אוטומטי של מערכות,פרופ' שוהם בוכבינדר שרון,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ב,16:00-19:00
0368-4179,01,"נושאים מתקדמים באוטומטים, לוגיקה ומשחקים",פרופ' רבינוביץ אלכסנדר,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,007,ג,16:00-19:00
0368-4180,01,שיטות מתקדמות בלמידה חישובית,פרופ' גלוברזון אמיר,2017,ב',שיעור,מדעים מדויקים,מדעי המחשב,אורנשטיין,103,א,12:00-15:00
0368-4181,01,סמינר בקומבינטוריקה אדטיבית,פרופ' שפילקה אמיר,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,פיזיקה-שנקר,104,ד,15:00-17:00
0368-4182,01,סמינר בפרוטוקולים לחישוב בטוח,פרופ' היטנר יפתח אילן,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ג,10:00-12:00
0368-4183,01,נושאים מתקדמים בארכיטקטורה ותוכנה של מעבדים מרובי ליבות,פרופ' מוריסון אדם,2017,ב',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ד,16:00-19:00
0368-4184,01,סמינר במערכות מחשבים מקביליות ומבוזרות,פרופ' מוריסון אדם,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,קפלון,118,ד,16:00-18:00
0368-4355,01,נושאים במודלים של מערכות תוכנה,פרופ' מעוז שחר,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,007,ב,10:00-13:00
0368-4361,01,קורס מתקדם במערכות מחשב,פרופ' טולדו סיון,2017,א',שיעור,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,207,א,16:00-19:00
0368-4429,01,חישוב מבוזר,פרופ' אפק יהודה,2017,ב',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,006,א,16:00-19:00
0368-4483,01,תורת המשחקים האלגוריתמית,פרופ' פלדמן מיכל,2017,ב',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,203,ד,14:00-17:00
0368-4485,01,אלגוריתמים מתקדמים,פרופ' צוויק אורי,2017,א',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,פיזיקה-שנקר,104,ה,15:00-18:00
0368-4492,01,שיטות אלגבריות במדעי המחשב ובקומבינטוריקה,פרופ' שפילקה אמיר,2017,א',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ד,10:00-13:00
0368-4493,01,אלגוריתמים דינמיים,פרופ' צ'צ'יק שירי,2017,ב',שיעור ותרגיל,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,204,ג,16:00-19:00
0368-4502,01,סמינר מתקדם באלגוריתמים,פרופ' קפלן חיים,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,קפלון,324,ד,18:00-20:00
0368-4503,01,"סמינר באוטומטים, משחקים וסינתזה",פרופ' רבינוביץ אלכסנדר,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,פיזיקה-שנקר,105,ד,17:00-19:00
0368-4512,01,סמינר בתכנון וניתוח אלגוריתמים,פרופ' צ'צ'יק שירי,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,אורנשטיין,102,ה,10:00-12:00
0368-4617,01,סמינר בתורת המשחקים האלגוריתמית,פרופ' עזר יוסף,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,קפלון,319,ב,14:00-16:00
0368-4619,01,שיטות ספקטרליות עקרון האינווריאנטיות ב Cs,"פרופ' ספרא שמואל
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,מדעי המחשב,"
פיזיקה-שנקר","
204","ג
ג","10:00-13:00
10:00-13:00"
0368-5236,01,נושאים מתקדמים בניהול נתונים ב-Web,פרופ' דויטש דניאל,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,קפלון,324,ד,16:00-18:00
0368-5237,01,נושאים מתקדמים בגנומיקה חישובית,"פרופ' שמיר רון
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ד
ד","11:00-13:00
11:00-13:00"
0368-5238,01,נושאים מתקדמים בביואינפורמטיקה מבנית,"פרופ' וולפסון חיים

",2017,"א'
א'
ב'","סמינר
סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
קפלון
קפלון","209
324
324","ג
ג
ג","10:00-12:00
10:00-12:00
10:00-12:00"
0368-5239,01,נושאים מתקדמים בגרפיקה ממוחשבת,"פרופ' כהן-אור דניאל
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ג
ג","17:00-19:00
17:00-19:00"
0368-5240,01,נושאים מתקדמים בהדמיה מוחית,פרופ' ישורון יחזקאל,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,כיתות דן דוד,204,ד,16:00-18:00
0368-5241,01,נושאים מתקדמים בתאוריה של מדעי המחשב,פרופ' ספרא שמואל,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,309,ג,13:00-15:00
0368-5242,01,נושאים מתקדמים בחישוב מבוזר ומקבילי,פרופ' אושמן רותם,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,309,א,14:00-16:00
0368-5243,01,נושאים מתקדמים בלוגיקה ושיטות פורמליות,פרופ' אברון ארנון,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,אורנשטיין,110,ב,10:00-12:00
0368-5244,01,נושאים מתקדמים באלגוריתמים,"פרופ' עזר יוסף
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ב
ב","11:00-13:00
11:00-13:00"
0368-5245,01,סמינר נושאים מתקדמים בתוכנה,"פרופ' מעוז שחר
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ב
ב","18:00-20:00
18:00-20:00"
0368-5246,02,נושאים מתקדמים בראייה חישובית,פרופ' וולף ליאור,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,קפלון,324,ב,15:00-17:00
0368-5247,01,נושאים מתקדמים בשפות תכנות,פרופ' רינצקי נעם,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,309,א,12:00-14:00
0368-5248,01,סמינר מתקדם בקריפטוגרפיה,"פרופ' היטנר יפתח אילן
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ה
ה","13:00-15:00
13:00-15:00"
0368-5249,01,נושאים מתקדמים באלגוריתמים,פרופ' צ'צ'יק שירי,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,,,ב,11:00-13:00
0368-5251,01,נושאים מתקדמים בחישוב גיאומטרי,"פרופ' הלפרין דן
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","ד
ד","16:00-18:00
16:00-18:00"
0368-5252,01,סמינר נושאים מתקדמים בעיבוד שפה טבעית,"פרופ' ברנט יהונתן
",2017,"א'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"שרייבר מתמטיקה
שרייבר מתמטיקה","309
309","א
א","16:00-18:00
16:00-18:00"
0368-5253,01,נושאים מתקדמים בלמידה חישובית,פרופ' גלוברזון אמיר,2017,א',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,008,ד,13:00-15:00
0368-5254,01,נושאים מתקדמים בביולוגיה מערכתית,פרופ' שרן רודד,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,שרייבר מתמטיקה,210,ג,16:00-18:00
0368-5255,01,נושאים מתקדמים בלמידה חישובית,"פרופ' וולף ליאור
",2017,"ב'
ב'","סמינר
סמינר",מדעים מדויקים,מדעי המחשב,"קפלון
","324
","ב
ב","17:00-19:00
17:00-19:00"
0368-5551,02,סמינר מחקר תואר שני ושלישי,,2017,ב',סמינר,מדעים מדויקים,מדעי המחשב,,,,
0368-8888,01,בחינה על עבודת גמר,,2017,א',בחינת גמר,מדעים מדויקים,מדעי המחשב,,,,
0368-8888,02,בחינה על עבודת גמר,,2017,ב',בחינת גמר,מדעים מדויקים,מדעי המחשב,,,,
0368-9999,01,עבודת גמר,,2017,א',עבודת גמר בחוג,מדעים מדויקים,מדעי המחשב,,,,
0368-9999,02,עבודת גמר,,2017,ב',עבודת גמר בחוג,מדעים מדויקים,מדעי המחשב,,,,
0372-4000,01,גלונים ועיבוד אותות מתמטיים,פרופ' דקל שי,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,קפלון,319,א,16:00-19:00
0372-4001,01,שיטות ספקטרליות בעיבוד מידע,פרופ' שקולניצקי יואל,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,עבודה סוציאל,126,ד,12:00-15:00
0372-4002,01,מודלים מתמטיים,פרופ' פיביך גדי,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,007,ב,15:00-18:00
0372-4003,01,היבטים מתמטיים בעיבוד אותות דיגיטליים,"ד""ר איזנבוד בן ציון
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,מגמה למתמטיקה שימושית,"
קפלון","
319","ד
ד","17:00-20:00
17:00-20:00"
0372-4004,01,שיטות Sketching לניתוח מטריצות ומידע,פרופ' אברון חיים,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,פיזיקה-שנקר,105,ג,16:00-19:00
0372-4005,01,פרקים בבקרה לא לינארית,פרופ' לבנט אריה,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,כיתות דן דוד,204,ב,13:00-16:00
0372-4006,01,שיטות בתיכון גאומטרי,"ד""ר פרחי אלזה
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,מגמה למתמטיקה שימושית,"
","
","ד
ה","17:00-18:00
14:00-16:00"
0372-4023,01,שיטות נומריות לבעיות התחלה 2,פרופ' דיטקובסקי עדי,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,007,ד,14:00-17:00
0372-4520,01,שיטות מתטיות לעיבוד וניתוח תמונות 1,פרופ' ברונשטיין מיכאיל,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,008,ב,12:00-15:00
0372-4553,01,שיטות במתמטיקה שימושית 1,פרופ' לבנט אריה,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,008,א,13:00-16:00
0372-4660,01,שיטות מתמטיות לעיבוד וניתוח תמונות 2,פרופ' סוכן ניר,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,007,א,13:00-16:00
0372-4841,01,יסודות האנליזה המודרנית,פרופ' דיטקובסקי עדי,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,קפלון,319,ד,14:00-17:00
0372-4850,01,"נושאים מתקדמים במד""ח",פרופ' שוחט סטיבן,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,כיתות דן דוד,204,ה,16:00-19:00
0372-4987,01,יסודות תורת הקירובים,פרופ' דקל שי,2017,ב',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,008,א,16:00-19:00
0372-5000,01,סמינר במתמטיקה שימושית,פרופ' לבנט אריה,2017,א',סמינר,מדעים מדויקים,מגמה למתמטיקה שימושית,פיזיקה-שנקר,105,ב,13:00-15:00
0372-5001,01,סמינר שיטות מתקדמות בניתוח מתמטי של מסדי נתונים מסיביים,פרופ' אברון חיים,2017,א',שיעור,מדעים מדויקים,מגמה למתמטיקה שימושית,קפלון,319,ה,15:00-17:00
0372-5002,01,סמינר במודלים מתמטיים,פרופ' פיביך גדי,2017,ב',סמינר,מדעים מדויקים,מגמה למתמטיקה שימושית,קפלון,319,ב,16:00-18:00
0372-5003,01,סמינר בלמידה עמוקה על גרפים ויריעות,פרופ' ברונשטיין מיכאיל,2017,א',סמינר,מדעים מדויקים,מגמה למתמטיקה שימושית,פיזיקה-שנקר,222,ג,12:00-14:00
0372-5005,01,סמינר דוקטורנטים במתמטיקה שימושית,פרופ' שקולניצקי יואל,2017,א',סמינר,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,210,ה,10:00-12:00
0372-7777,03,קולוקויום - מתמטיקה  שימושית,"פרופ' אברון חיים
",2017,"א'
א'","קולוקויום
קולוקויום",מדעים מדויקים,מגמה למתמטיקה שימושית,"שרייבר מתמטיקה
","309
","ג
","15:00-17:00
"
0372-7777,04,קולוקויום - מתמטיקה  שימושית,פרופ' אברון חיים,2017,ב',קולוקויום,מדעים מדויקים,מגמה למתמטיקה שימושית,שרייבר מתמטיקה,309,ג,15:00-17:00
0372-8888,01,בחינה על עבודת גמר,,2017,א',בחינת גמר,מדעים מדויקים,מגמה למתמטיקה שימושית,,,,
0372-8888,02,בחינה על עבודת גמר,,2017,ב',בחינת גמר,מדעים מדויקים,מגמה למתמטיקה שימושית,,,,
0372-9999,01,עבודת גמר,,2017,א',עבודת גמר בחוג,מדעים מדויקים,מגמה למתמטיקה שימושית,,,,
0372-9999,02,עבודת גמר,,2017,ב',עבודת גמר בחוג,מדעים מדויקים,מגמה למתמטיקה שימושית,,,,
0373-8888,01,בחינה על עבודת גמר,,2017,א',בחינת גמר,מדעים מדויקים,חקר ביצועים,,,,
0373-8888,02,בחינה על עבודת גמר,,2017,ב',בחינת גמר,מדעים מדויקים,חקר ביצועים,,,,
0373-9999,01,עבודת גמר,,2017,א',עבודת גמר בחוג,מדעים מדויקים,חקר ביצועים,,,,
0373-9999,02,עבודת גמר,,2017,ב',עבודת גמר בחוג,מדעים מדויקים,חקר ביצועים,,,,
0377-8888,01,בחינה על עבודת גמר,,2017,א',בחינת גמר,מדעים מדויקים,ביוסטטיסטיקה,,,,
0377-8888,02,בחינה על עבודת גמר,,2017,ב',בחינת גמר,מדעים מדויקים,ביוסטטיסטיקה,,,,
0377-9999,01,עבודת גמר,,2017,א',עבודת גמר בחוג,מדעים מדויקים,ביוסטטיסטיקה,,,,
0377-9999,02,עבודת גמר,,2017,ב',עבודת גמר בחוג,מדעים מדויקים,ביוסטטיסטיקה,,,,
0300-5000,01,בטיחות כללית וחשמל,,2018,א',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5000,02,בטיחות כללית וחשמל,,2018,ב',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5001,01,עזרה ראשונה,,2018,א',הדרכה אישית,מדעים מדויקים,פקולטה למדעים מדויקים,,,,
0300-5030,01,פרקים בביולוגיה של התא,פרופ' ורשנר דניאל,2018,א',שיעור,מדעים מדויקים,פקולטה למדעים מדויקים,כיתות דן דוד,204,ד,10:00-12:00
0321-1000,01,חונכות אישית,"פרופ' דגן יורם
",2018,"א'
ב'","הדרכה אישית
הדרכה אישית",מדעים מדויקים,פיזיקה,"
","
","
","
"
0321-1104,01,פרקים בפיזיקה קלאסית,"פרופ' ליפשיץ רון
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ד
ה","13:00-14:00
12:00-14:00"
0321-1104,02,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,14:00-15:00
0321-1104,03,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,10:00-11:00
0321-1104,04,פרקים בפיזיקה קלאסית,"ד""ר חיימוב אהוד",2018,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,102,ב,16:00-17:00
0321-1104,90,פרקים בפיזיקה קלאסית,,2018,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1104,91,פרקים בפיזיקה קלאסית,,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1111,01,מעבדה בפיזיקה א 1,פרופ' אברמוביץ הלינה,2018,א',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,ב,13:00-17:00
0321-1111,03,מעבדה בפיזיקה א 1,פרופ' אברמוביץ הלינה,2018,א',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,א,13:00-17:00
0321-1111,04,מעבדה בפיזיקה א 1,פרופ' אברמוביץ הלינה,2018,א',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,א,13:00-17:00
0321-1111,90,מעבדה בפיזיקה א 1,,2018,א',מעבדה,מדעים מדויקים,פיזיקה,,,,
0321-1112,01,מעבדה  בפיזיקה  א 2,פרופ' אברמוביץ הלינה,2018,ב',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,א,13:00-17:00
0321-1112,03,מעבדה  בפיזיקה  א 2,פרופ' אברמוביץ הלינה,2018,ב',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,ב,08:00-12:00
0321-1112,04,מעבדה  בפיזיקה  א 2,פרופ' אברמוביץ הלינה,2018,ב',מעבדה,מדעים מדויקים,פיזיקה,קפלון,101,א,13:00-17:00
0321-1112,90,מעבדה  בפיזיקה  א 2,,2018,ב',מעבדה,מדעים מדויקים,פיזיקה,,,,
0321-1118,01,פיזיקה קלאסית 1,"פרופ' נקר אהוד
",2018,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ב
ג","09:00-11:00
08:00-10:00"
0321-1118,02,פיזיקה קלאסית 1,"ד""ר חיימוב אהוד",2018,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ג,14:00-16:00
0321-1118,03,פיזיקה קלאסית 1,"ד""ר חיימוב אהוד",2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ד,08:00-10:00
0321-1118,04,פיזיקה קלאסית 1,מר פנחי אביעד,2018,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ד,08:00-10:00
0321-1118,05,פיזיקה קלאסית 1,מר פנחי אביעד,2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ג,16:00-18:00
0321-1118,90,פיזיקה קלאסית 1,,2018,א',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1118,91,פיזיקה קלאסית 1,,2018,א',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1119,01,פיזיקה קלאסית 2,"פרופ' פומרנץ ישי
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ב
ה","12:00-14:00
14:00-16:00"
0321-1119,02,פיזיקה קלאסית 2,מר קורנפלד אייל,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ד,16:00-18:00
0321-1119,03,פיזיקה קלאסית 2,מר יפת יהונתן,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ג,10:00-12:00
0321-1119,04,פיזיקה קלאסית 2,מר יפת יהונתן,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,וולפסון - הנדסה,118,ה,10:00-12:00
0321-1119,90,פיזיקה קלאסית 2,,2018,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1119,91,פיזיקה קלאסית 2,,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1121,01,מחשבים לפיזיקאים,פרופ' בן חמו יאן,2018,א',שיעור,מדעים מדויקים,פיזיקה,אורנשטיין,111,א,17:00-18:00
0321-1121,02,מחשבים לפיזיקאים,גב' פלדמן נעה,2018,א',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,004,ה,16:00-18:00
0321-1121,03,מחשבים לפיזיקאים,מר אפרת ירון,2018,א',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,004,ב,11:00-13:00
0321-1121,04,מחשבים לפיזיקאים,"ד""ר וקסלר נטע",2018,א',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,004,ד,12:00-14:00
0321-1201,01,יחסות פרטית,פרופ' עציון ארז,2018,ב',שיעור,מדעים מדויקים,פיזיקה,אודיטור' דאך,005,א,17:00-19:00
0321-1201,90,יחסות פרטית,,2018,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1702,01,סמינר תלמידים בתכנית המצטיינים שנה א',פרופ' גולדשטיין משה,2018,ב',סמינר,מדעים מדויקים,פיזיקה,כיתות דן דוד,204,ד,14:00-16:00
0321-1836,01,הסתברות וסטטיסטיקה,"ד""ר אשכנזי גולן גלית
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"כיתות דן דוד
אודיטור' דאך","001
005","א
ד","09:00-11:00
08:00-09:00"
0321-1836,02,הסתברות וסטטיסטיקה,"ד""ר סניטקובסקי רן יצחק",2018,ב',תרגיל,מדעים מדויקים,פיזיקה,אודיטור' דאך,005,ד,09:00-10:00
0321-1836,03,הסתברות וסטטיסטיקה,"ד""ר סניטקובסקי רן יצחק",2018,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ג,15:00-16:00
0321-1838,01,מבוא מתמטי לפיזיקאים 1,"פרופ' ברקנא רנן
",2018,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' דאך
אודיטור' לב","005
009","א
ג","10:00-12:00
10:00-12:00"
0321-1838,02,מבוא מתמטי לפיזיקאים 1,מר חן בר,2018,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ה,09:00-11:00
0321-1838,03,מבוא מתמטי לפיזיקאים 1,מר חן בר,2018,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ד,14:00-16:00
0321-1838,04,מבוא מתמטי לפיזיקאים 1,מר כהן ארז,2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,13:00-15:00
0321-1838,90,מבוא מתמטי לפיזיקאים 1,,2018,א',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1838,91,מבוא מתמטי לפיזיקאים 1,,2018,א',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1839,01,מבוא מתמטי לפיזיקאים 2,"פרופ' ברקנא רנן
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
כיתות דן דוד","009
003","ב
ד","14:00-16:00
11:00-13:00"
0321-1839,02,מבוא מתמטי לפיזיקאים 2,מר לוי תום,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ג,17:00-19:00
0321-1839,03,מבוא מתמטי לפיזיקאים 2,מר כהן רועי,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ה,08:00-10:00
0321-1839,90,מבוא מתמטי לפיזיקאים 2,,2018,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1839,91,מבוא מתמטי לפיזיקאים 2,,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1840,01,מבוא מתמטי לפיזיקאים 2 למסלול משולב,"פרופ' ברקנא רנן
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
כיתות דן דוד","009
003","ב
ד","14:00-16:00
11:00-13:00"
0321-1840,04,מבוא מתמטי לפיזיקאים 2 למסלול משולב,מר לוי תום,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,103,ב,17:00-19:00
0321-1840,90,מבוא מתמטי לפיזיקאים 2 למסלול משולב,,2018,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1840,91,מבוא מתמטי לפיזיקאים 2 למסלול משולב,,2018,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-2102,01,גלים אור ואופטיקה,"פרופ' סוכובסקי חיים
",2018,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
אודיטו. מלמד","006
006","ד
ה","08:00-09:00
14:00-16:00"
0321-2102,02,גלים אור ואופטיקה,מר לירם ליאור,2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,09:00-10:00
0321-2102,03,גלים אור ואופטיקה,מר לירם ליאור,2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ב,17:00-18:00
0321-2103,01,קוונטים 1,"פרופ' אילן רוני
",2018,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
קפלון","222
118","ב
ה","09:00-10:00
09:00-11:00"
0321-2103,02,קוונטים 1,מר קורנפלד אייל,2018,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ג,10:00-12:00
0321-2103,04,קוונטים 1,"פרופ' גולדשטיין משה
",2018,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
אודיטור' דאך","006
005","ב
ה","10:00-11:00
14:00-16:00"
