Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0321-1836,01,הסתברות וסטטיסטיקה,"ד""ר אשכנזי גולן גלית
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"כיתות דן דוד
אודיטור' דאך","001
005","א
ד","09:00-11:00
08:00-09:00"
0321-1836,02,הסתברות וסטטיסטיקה,מר יערי נבות צבי,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אודיטור' דאך,005,ד,09:00-10:00
0321-1836,03,הסתברות וסטטיסטיקה,"ד""ר סניטקובסקי רן יצחק",2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אודי.הולצבלט,007,ד,09:00-10:00
0321-1838,01,מבוא מתמטי לפיזיקאים 1,"פרופ' ברקנא רנן
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","א
ג","10:00-12:00
10:00-12:00"
0321-1838,02,מבוא מתמטי לפיזיקאים 1,מר גולדפריינד תומר ישי,2017,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ה,09:00-11:00
0321-1838,03,מבוא מתמטי לפיזיקאים 1,מר גולדפריינד תומר ישי,2017,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ד,14:00-16:00
0321-1838,04,מבוא מתמטי לפיזיקאים 1,מר כהן ארז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,13:00-15:00
0321-1838,90,מבוא מתמטי לפיזיקאים 1,,2017,א',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1838,91,מבוא מתמטי לפיזיקאים 1,,2017,א',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1839,01,מבוא מתמטי לפיזיקאים 2,"פרופ' סוכובסקי חיים
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ב
ד","14:00-16:00
11:00-13:00"
0321-1839,02,מבוא מתמטי לפיזיקאים 2,מר אוטמזגין נדב יוסף,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ג,17:00-19:00
0321-1839,03,מבוא מתמטי לפיזיקאים 2,פרופ' לוי תום,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ה,08:00-10:00
0321-1839,90,מבוא מתמטי לפיזיקאים 2,,2017,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1839,91,מבוא מתמטי לפיזיקאים 2,,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-1840,01,מבוא מתמטי לפיזיקאים 2 למסלול משולב,"פרופ' סוכובסקי חיים
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ב
ד","14:00-16:00
11:00-13:00"
